text_id,text_uri,title_ar,title_lat,author_id,ed_info,collection,tok_length,page_count,volumes,tags
JK007501,0001AbuTalibCabdManaf.Diwan.JK007501-ara1,ديوان أبو طالب,Diwan,0001AbuTalibCabdManaf,,al-Jāmiʿ al-Kabīr,5743,93,1,_SHICR_JAHILI :: _SHICR
JK007502,0001AwsIbnHajar.Diwan.JK007502-ara1,ديوان أوس بن حجر,Diwan,0001AwsIbnHajar,,al-Jāmiʿ al-Kabīr,5215,84,1,_SHICR_JAHILI :: _SHICR
JK007522,0001CalqamaFahl.Diwan.JK007522-ara1,ديوان علقمة الفحل,Diwan,0001CalqamaFahl,,al-Jāmiʿ al-Kabīr,2089,37,1,_SHICR
JK007524,0001CamrIbnKulthum.Diwan.JK007524-ara1,ديوان عمرو بن كلثوم,Diwan,0001CamrIbnKulthum,,al-Jāmiʿ al-Kabīr,67,2,1,_SHICR
ShamAY0038526,0001CamrIbnKulthum.Mucallaqa.ShamAY0038526-ara1,معلقة عمرو بن كلثوم,Mucallaqa,0001CamrIbnKulthum,,al-Maktaba al-Shāmila AY,871,6,1,_SHICR
JK007525,0001CamrIbnMalik.Diwan.JK007525-ara1,ديوان عمرو بن مالك,Diwan,0001CamrIbnMalik,,al-Jāmiʿ al-Kabīr,1461,28,1,_SHICR_JAHILI :: _SHICR
JK007523,0001CamrIbnQumaya.Diwan.JK007523-ara1,ديوان عمرو بن قميئة,Diwan,0001CamrIbnQumaya,,al-Jāmiʿ al-Kabīr,2219,42,1,_SHICR_JAHILI :: _SHICR
JK007526,0001CantaraIbnShaddad.Diwan.JK007526-ara1,ديوان عنترة بن شداد,Diwan,0001CantaraIbnShaddad,,al-Jāmiʿ al-Kabīr,16662,238,1,_SHICR
ShamAY0038527,0001CantaraIbnShaddad.Mucallaqa.ShamAY0038527-ara1,معلقة عنترة,Mucallaqa,0001CantaraIbnShaddad,,al-Maktaba al-Shāmila AY,653,5,1,_SHICR
JK007521,0001CurwaIbnWard.Diwan.JK007521-ara1,ديوان عروة بن الورد,Diwan,0001CurwaIbnWard,,al-Jāmiʿ al-Kabīr,2390,47,1,_SHICR
JK007515,0001HajibIbnMudallil.Diwan.JK007515-ara1,ديوان حاجب بن حبيب,Diwan,0001HajibIbnMudallil,,al-Jāmiʿ al-Kabīr,205,4,1,_SHICR_JAHILI :: _SHICR
JK007505,0001HarithIbnHilliza.Diwan.JK007505-ara1,ديوان الحارث بن حلزة,Diwan,0001HarithIbnHilliza,,al-Jāmiʿ al-Kabīr,1594,31,1,_SHICR_JAHILI :: _SHICR
ShamAY0038524,0001HarithIbnHilliza.Mucallaqa.ShamAY0038524-ara1,معلقة الحارث اليشكري,Mucallaqa,0001HarithIbnHilliza,,al-Maktaba al-Shāmila AY,771,5,1,_SHICR
JK007514,0001HatimTai.Diwan.JK007514-ara1,ديوان حاتم الطائي,Diwan,0001HatimTai,,al-Jāmiʿ al-Kabīr,3790,66,1,_SHICR
JK007512,0001ImruQaysIbnHujr.Diwan.JK007512-ara1,ديوان امرؤ القيس,Diwan,0001ImruQaysIbnHujr,,al-Jāmiʿ al-Kabīr,5437,74,1,_SHICR_JAHILI :: _SHICR
JK007528,0001LaqitIbnYacmur.Diwan.JK007528-ara1,ديوان لقيط بن يعمر الإيادي,Diwan,0001LaqitIbnYacmur,,al-Jāmiʿ al-Kabīr,629,9,1,_SHICR_JAHILI :: _SHICR
JK007529,0001MuhalhilIbnRabica.Diwan.JK007529-ara1,ديوان مهلهل بن ربيعة,Diwan,0001MuhalhilIbnRabica,,al-Jāmiʿ al-Kabīr,3525,63,1,_SHICR_JAHILI :: _SHICR
JK007510,0001MuthaqqibCabdi.Diwan.JK007510-ara1,ديوان المثقب العبدي,Diwan,0001MuthaqqibCabdi,,al-Jāmiʿ al-Kabīr,1468,27,1,_SHICR
JK007511,0001NabighaDhubyani.Diwan.JK007511-ara1,ديوان النابغة الذبياني,Diwan,0001NabighaDhubyani,,al-Jāmiʿ al-Kabīr,6935,118,1,_SHICR_JAHILI :: _SHICR
JK007527,0001QaysIbnKhatim.Diwan.JK007527-ara1,ديوان قيس بن الخطيم,Diwan,0001QaysIbnKhatim,,al-Jāmiʿ al-Kabīr,3083,51,1,_SHICR
QuranAnalysis001,0001Quran.Mushaf.QuranAnalysis001-ara1.mARkdown,القران :: المصحف,al-Qurān,0001Quran,https://qurananalysis.com/analysis/full-quran-text.php,NODATA,77912,115,1,_QURAN
JK007517,0001SalamaIbnJandal.Diwan.JK007517-ara1,ديوان سلامة بن جندل,Diwan,0001SalamaIbnJandal,,al-Jāmiʿ al-Kabīr,2047,41,1,_SHICR_JAHILI :: _SHICR
JK007508,0001SamawalIbnCadiya.Diwan.JK007508-ara1,ديوان السموأل,Diwan,0001SamawalIbnCadiya,,al-Jāmiʿ al-Kabīr,987,19,1,_SHICR
ShamAY0037893,0001Shanfara.Diwan.ShamAY0037893-ara1,ديوان الشنفرى  :: ديوان الشنفرى,Diwan,0001Shanfara,,al-Maktaba al-Shāmila AY,2161,36,1,_SHICR
JK007507,0001SulaykIbnSulaka.Diwan.JK007507-ara1,ديوان السليك بن عمرو,Diwan,0001SulaykIbnSulaka,,al-Jāmiʿ al-Kabīr,119,6,1,_SHICR
JK007513,0001TaabbataSharran.Diwan.JK007513-ara1,ديوان ثابت بن جابر,Diwan,0001TaabbataSharran,,al-Jāmiʿ al-Kabīr,3145,72,1,_SHICR
JK007518,0001TarafaIbnCabd.Diwan.JK007518-ara2,ديوان طرفة بن العبد,Diwan,0001TarafaIbnCabd,,al-Jāmiʿ al-Kabīr,4161,63,1,_BALAGHA :: _ADAB :: _SHICR_JAHILI :: _SHICR
JK007519,0001TufaylGhanawi.Diwan.JK007519-ara1,ديوان طفيل الغنوي,Diwan,0001TufaylGhanawi,,al-Jāmiʿ al-Kabīr,3972,75,1,_SHICR
JK007516,0001ZuhayrIbnAbiSulma.Diwan.JK007516-ara1,ديوان زهير بن أبي سلمى,Diwan,0001ZuhayrIbnAbiSulma,,al-Jāmiʿ al-Kabīr,4431,60,1,_SHICR_JAHILI :: _SHICR
ShamAY0038525,0001ZuhayrIbnAbiSulma.Mucallaqa.ShamAY0038525-ara1,معلقة زهير بن أبي سلمى,Mucallaqa,0001ZuhayrIbnAbiSulma,,al-Maktaba al-Shāmila AY,608,4,1,_SHICR
JK007504,0005Hadira.Diwan.JK007504-ara1,ديوان الحادرة,Diwan,0005Hadira,,al-Jāmiʿ al-Kabīr,900,21,1,_SHICR
JK007503,0007MaymunIbnQaysAcsha.Diwan.JK007503-ara1.completed,ديوان الأعشى,Diwan,0007MaymunIbnQaysAcsha,,al-Jāmiʿ al-Kabīr,19432,250,1,_SHICR_JAHILI :: _SHICR
JK007520,0011CamirIbnTufayl.Diwan.JK007520-ara1,ديوان عامر بن الطفيل,Diwan,0011CamirIbnTufayl,,al-Jāmiʿ al-Kabīr,3521,70,1,_SHICR_JAHILI :: _SHICR
JK007536,0021CamrZubaydi.Diwan.JK007536-ara1,ديوان عمرو بن معدي كرب,Diwan,0021CamrZubaydi,,al-Jāmiʿ al-Kabīr,891,18,1,_SHICR
JK007533,0022ShammakhIbnDirar.Diwan.JK007533-ara1,ديوان الشماخ بن ضرار,Diwan,0022ShammakhIbnDirar,,al-Jāmiʿ al-Kabīr,5525,80,1,_MUKHADRAM :: _SHICR
JK007532,0024TumadirBinCamrKhansa.Diwan.JK007532-ara1,ديوان الخنساء,Diwan,0024TumadirBinCamrKhansa,,al-Jāmiʿ al-Kabīr,8410,129,1,_MUKHADRAM :: _SHICR
JK007537,0026KacbIbnZuhayr.Diwan.JK007537-ara1,ديوان كعب بن زهير,Diwan,0026KacbIbnZuhayr,,al-Jāmiʿ al-Kabīr,6212,92,1,_MUKHADRAM :: _SHICR
JK007555,0030CurwaIbnHizam.Diwan.JK007555-ara1,ديوان عروة بن حزام,Diwan,0030CurwaIbnHizam,,al-Jāmiʿ al-Kabīr,1738,27,1,_SHICR
JK007530,0037IbnMuqbil.Diwan.JK007530-ara1,ديوان ابن مقبل,Diwan,0037IbnMuqbil,,al-Jāmiʿ al-Kabīr,12721,186,1,_SHICR
JK007540,0040CaliIbnAbiTalib.Diwan.JK007540-ara1,ديوان علي بن أبي طالب,Diwan,0040CaliIbnAbiTalib,,al-Jāmiʿ al-Kabīr,7921,186,1,_SHICR
JK007538,0041LabidIbnRabica.Diwan.JK007538-ara2,ديوان لبيد بن ربيعة العامري,Diwan,0041LabidIbnRabica,,al-Jāmiʿ al-Kabīr,10180,136,1,_MUKHADRAM :: _BALAGHA :: _ADAB :: _SHICR
ShamAY0038523,0041LabidIbnRabica.Mucallaqa.ShamAY0038523-ara1,معلقة لبيد بن ربيعة :: معلقة لبيد بن ربيعة ,Mucallaqa,0041LabidIbnRabica,,al-Maktaba al-Shāmila AY,783,6,1,_SHICR
JK007531,0045JarwalIbnAwsHutaya.Diwan.JK007531-ara1,ديوان الحطيئة,Diwan,0045JarwalIbnAwsHutaya,,al-Jāmiʿ al-Kabīr,9294,160,1,_MUKHADRAM :: _SHICR
JK007506,0050KhirniqBintBadr.Diwan.JK007506-ara1,ديوان الخرنق بنت بدر,Diwan,0050KhirniqBintBadr,,al-Jāmiʿ al-Kabīr,565,14,1,_SHICR
JK007534,0054HassanIbnThabit.Diwan.JK007534-ara1,ديوان حسان بن ثابت,Diwan,0054HassanIbnThabit,,al-Jāmiʿ al-Kabīr,19139,322,1,_MUKHADRAM :: _SHICR
JK007541,0060MucawiyaIbnAbiSufyan.Diwan.JK007541-ara1,ديوان معاوية بن أبي سفيان,Diwan,0060MucawiyaIbnAbiSufyan,,al-Jāmiʿ al-Kabīr,2350,64,1,_SHICR
Sham19Y0149485,0060SuwaydIbnAbiKahil.Diwan.Sham19Y0149485-ara1,ديوان سويد بن أبي كاهل اليشكري,Diwan,0060SuwaydIbnAbiKahil,الأولى، 1972 م :: ساعدت وزارة الإعلام على نشره,al-Maktaba al-Shāmila,1641,31,1,_SHICR
Sham19Y0149016,0063AbuDihbilJumahi.Diwan.Sham19Y0149016-ara1,ديوان أبي دهبل الجمحي (رواية أبي عمرو الشيباني) :: ديوان أبي دهبل الجمحي,Diwan,0063AbuDihbilJumahi,عبد العظيم عبد المحسن :: الأولى، 1392 ه - 1972 م :: مطبعة القضاء في النجف الأشرف,al-Maktaba al-Shāmila,5470,74,1,_SHICR
Shamela0023622,0068CabdAllahIbnCabbas.GharibQuran.Shamela0023622-ara1,غريب القرآن في شعر العرب ((مسائل نافع بن الأزرق لعبد الله بن عباس - رضي الله عنه وعن أبيه)),Gharib Quran,0068CabdAllahIbnCabbas,,al-Maktaba al-Shāmila,12834,263,1,_CULUM :: _QURAN
JK007557,0068QaysIbnDharihLubna.Diwan.JK007557-ara1,ديوان قيس لبنى,Diwan,0068QaysIbnDharihLubna,,al-Jāmiʿ al-Kabīr,4011,77,1,_SHICR :: _SHICR_UMAWI
JK007560,0068QaysMajnunLayla.Diwan.JK007560-ara1,ديوان مجنون ليلى,Diwan,0068QaysMajnunLayla,,al-Jāmiʿ al-Kabīr,7949,145,1,_SHICR :: _SHICR_UMAWI
JK007559,0080LaylaAkhyaliyya.Diwan.JK007559-ara1,ديوان ليلى الأخيلية,Diwan,0080LaylaAkhyaliyya,,al-Jāmiʿ al-Kabīr,2804,59,1,_SHICR
JK007539,0080UqayshirAsadi.Diwan.JK007539-ara1,ديوان الأقيشر السعدي,Diwan,0080UqayshirAsadi,,al-Jāmiʿ al-Kabīr,1941,55,1,_SHICR
JK007550,0082JamilButhayna.Diwan.JK007550-ara1,ديوان جميل بثينة,Diwan,0082JamilButhayna,,al-Jāmiʿ al-Kabīr,7590,129,1,_SHICR
Shia001265,0085SulaymIbnQaysHilali.KitabSulaym.Shia001265-ara1,كتاب سليم بن قيس,Kitab Sulaym,0085SulaymIbnQaysHilali,محمد باقر الأنصاري الزنجاني,al-Shāmila al-Shīʿiyya,58762,327,1,_HADITH :: _SHICI
JK007544,0090AkhtalShacir.Diwan.JK007544-ara1,ديوان الأخطل,Diwan,0090AkhtalShacir,,al-Jāmiʿ al-Kabīr,21979,307,1,_SHICR :: _SHICR_UMAWI
JK007545,0090RaciNumayriShacir.Diwan.JK007545-ara1,ديوان الراعي النميري,Diwan,0090RaciNumayriShacir,,al-Jāmiʿ al-Kabīr,13528,208,1,_SHICR
JK007562,0090WaddahYaman.Diwan.JK007562-ara1,ديوان وضاح اليمن,Diwan,0090WaddahYaman,,al-Jāmiʿ al-Kabīr,2572,48,1,_SHICR :: _SHICR_UMAWI
JK007556,0093IbnAbiRabica.Diwan.JK007556-ara1,ديوان عمر ابن أبي ربيعة,Diwan,0093IbnAbiRabica,,al-Jāmiʿ al-Kabīr,37188,572,1,_SHICR
JK007553,0095CadiIbnRiqac.Diwan.JK007553-ara1,ديوان عدي بن الرقاع,Diwan,0095CadiIbnRiqac,,al-Jāmiʿ al-Kabīr,3185,74,1,_SHICR
JK000459,0104MujahidIbnJabr.Tafsir.JK000459-ara1,تفسير مجاهد,Tafsir,0104MujahidIbnJabr,عبدالرحمن الطاهر محمد السورتي :: بيروت :: المنشورات العلمية,al-Jāmiʿ al-Kabīr,82777,734,2,_CULUM :: _TAFSIR :: _QURAN :: _SUNNI
JK007543,0105AhwasAnsari.Diwan.JK007543-ara1,ديوان الأحوص,Diwan,0105AhwasAnsari,,al-Jāmiʿ al-Kabīr,8474,210,1,_SHICR
JK007558,0105KuthayyirCazza.Diwan.JK007558-ara1,ديوان كثير عزة,Diwan,0105KuthayyirCazza,,al-Jāmiʿ al-Kabīr,17913,245,1,_SHICR :: _SHICR_UMAWI
JK007547,0110Farazdaq.Diwan.JK007547-ara1,ديوان الفرزدق,Diwan,0110Farazdaq,,al-Jāmiʿ al-Kabīr,6400,107,1,_SHICR
Shamela0005722,0110HasanBasri.FadailMakka.Shamela0005722-ara1.mARkdown,فضائل مكة,Faḍāʾil Makkaŧ,0110HasanBasri,http://www.worldcat.org/oclc/8850761 :: سامي مكي العاني :: مكتبة الفلاح - الكويت,al-Maktaba al-Shāmila,3094,31,1,_HADITH :: _BULDAN :: _AJZA :: _TARIKH :: _TARAJIM :: _TABAQAT
ShamAY0035241,0110HasanBasri.TarghibMakka.ShamAY0035241-ara1,الترغيب في الإقامة بمكة للحسن البصري :: الترغيب في الإقامة بمكة للحسن البصري ,Targhib Makka,0110HasanBasri,الدكتور جميل عبد الله عويضة,al-Maktaba al-Shāmila AY,1863,10,1,_HADITH
JK006856,0110IbnSirin.MuntakhabKalamFiTafsirAhlam.JK006856-ara2,منتخب الكلام في تفسير الأحلام,Muntakhab Kalam Fi Tafsir Ahlam,0110IbnSirin,بيروت :: دار الفكر,al-Jāmiʿ al-Kabīr,211445,311,1,_AHLAM
JK007549,0110JarirShacir.Diwan.JK007549-ara1,ديوان جرير,Diwan,0110JarirShacir,,al-Jāmiʿ al-Kabīr,52546,674,1,_SHICR
JK007551,0117DhuRumma.Diwan.JK007551-ara1,ديوان ذو الرمة,Diwan,0117DhuRumma,,al-Jāmiʿ al-Kabīr,26838,351,1,_SHICR :: _SHICR_UMAWI
JK000163,0117IbnDicamaSadusi.NasikhWaMansukh.JK000163-ara1,الناسخ والمنسوخ للسدوسي :: الناسخ والنسوخ,Nasikh Wa Mansukh,0117IbnDicamaSadusi,د. حاتم صالح الضامن :: بيروت :: 1404 :: مؤسسة الرسالة,al-Jāmiʿ al-Kabīr,3261,25,1,_CULUM :: _TAFSIR :: _NASIKH :: _QURAN :: _MANSUKH
Zaydiyya0000074,0122ZaydIbnCali.MajmucRasail.Zaydiyya0000074-ara1,مجموع رسائل الإمام زيد بن علي عليهم السلام,Majmuc Rasail,0122ZaydIbnCali,,al-Shāmila al-Zaydiyya,43119,270,1,_RASAIL
Zaydiyya0000065,0122ZaydIbnCali.MansikHajj.Zaydiyya0000065-ara1,منسك الحج والعمرة للإمام زيد (ع),Mansik Hajj,0122ZaydIbnCali,,al-Shāmila al-Zaydiyya,11040,90,1,_FIQH
Zaydiyya0000052,0122ZaydIbnCali.Musnad.Zaydiyya0000052-ara1.mARkdown,مسند,Musnad,0122ZaydIbnCali,http://www.worldcat.org/oclc/745191363,al-Shāmila al-Zaydiyya,49563,453,1,_HADITH
Zaydiyya0000297,0122ZaydIbnCali.TafsirGharibQuran.Zaydiyya0000297-ara1,تفسير غريب القرآن للإمام زيد,Tafsir Gharib Quran,0122ZaydIbnCali,,al-Shāmila al-Zaydiyya,38533,204,1,_TAFSIR :: _QURAN :: _SHICI
JK000872,0124IbnShihabZuhri.TanzilQuran.JK000872-ara2,تنزيل القرآن,Tanzil Quran,0124IbnShihabZuhri,د. صلاح الدين المنجد :: بيروت :: 1980 :: دار الكتاب الجديد,al-Jāmiʿ al-Kabīr,580,12,1,_CULUM :: _TAFSIR :: _QURAN
JK007548,0125NabighaShaybani.Diwan.JK007548-ara1,ديوان النابغة الشيباني,Diwan,0125NabighaShaybani,,al-Jāmiʿ al-Kabīr,10934,134,1,_SHICR
JK007546,0125Tirimmah.Diwan.JK007546-ara1,ديوان الطرماح,Diwan,0125Tirimmah,,al-Jāmiʿ al-Kabīr,12527,179,1,_SHICR
Shia003659,0126KumaytIbnZaydAsadi.Rawda.Shia003659-ara1,الروضة المختارة (شرح القصائد الهاشميات),Rawda,0126KumaytIbnZaydAsadi,,al-Shāmila al-Shīʿiyya,4847,78,1,_SIRA :: _IMAM :: _NABI
Shamela0030310,0128IbnAbiHabibMisri.AhadithYazid.Shamela0030310-ara1,أحاديث يزيد بن أبي حبيب المصري,Ahadith Yazid,0128IbnAbiHabibMisri,حمزة أحمد الزين :: 2004م :: دار الحديث - القاهرة,al-Maktaba al-Shāmila,5108,69,1,_HADITH :: _AJZA
JK007554,0130CurwaIbnUdhayna.Diwan.JK007554-ara1,ديوان عروة بن أذينة,Diwan,0130CurwaIbnUdhayna,,al-Jāmiʿ al-Kabīr,6829,115,1,_SHICR :: _SHICR_UMAWI
JK007627,0130IbnBashirKhariji.Diwan.JK007627-ara1,ديوان محمد بن بشير الخارجي,Diwan,0130IbnBashirKhariji,,al-Jāmiʿ al-Kabīr,2989,52,1,_SHICR
Shamela0029699,0131ZubayrHamdani.NuskhatZubayr.Shamela0029699-ara1,نسخة الزبير بن عدي,Nuskhat Zubayr,0131ZubayrHamdani,مخطوط نشر في برنامج جوامع الكلم المجاني التابع لموقع الشبكة الإسلامية,al-Maktaba al-Shāmila,3165,81,1,_HADITH :: _MAKHTUTAT
JK000489,0132HammamIbnMunabbih.Sahifa.JK000489-ara1,صحيفة همام بن منبه :: صحيفة همام,Sahifa,0132HammamIbnMunabbih,"علي حسن علي عبد الحميد :: بيروت , عمان :: 1407 - 1987 :: المكتب الإسلامي , دار عمار",al-Jāmiʿ al-Kabīr,4485,42,1,_HADITH :: _SUNNI
Shamela0007528BK2,0139IbnMuqaffac.AdabKabir.Shamela0007528BK2-ara2,كتاب الأدب الكبير,Kitāb al-Adab al-kabīr,0139IbnMuqaffac,دار صادر - بيروت,al-Maktaba al-Shāmila,9503,73,1,_AKHLAQ :: _MISC :: _SULUK
Hindawi094852947,0139IbnMuqaffac.DurraYatima.Hindawi094852947-ara1,الدرة اليتيمة,Durra Yatima,0139IbnMuqaffac,شكيب أرسلان,Hindāwī,8607,31,1,_ADAB :: _BALAGHA
LAL2022011101,0139IbnMuqaffac.KalilaWaDimna.LAL2022011101-ara2,كليلة ودمنة,Kalīlaŧ wa-Dimnaŧ,0139IbnMuqaffac,https://www.worldcat.org/nl/title/1302164357 :: مايكل فشبن :: Michael Fishbein :: New York University Press,Library of Arabic Lit.,52169,2,1,_ADAB :: _BALAGHA
Shamela0001342,0141MusaIbnCuqba.AhadithMinMaghazi.Shamela0001342-ara1,أحاديث منتخبة من مغازي موسى بن عقبة,Ahadith Min Maghazi,0141MusaIbnCuqba,مشهور حسن سلمان :: مؤسسة الريان - دار ابن حزم,al-Maktaba al-Shāmila,1776,21,1,_HADITH :: _AJZA
Masaha004555,0145MufaddalIbnCumarJucfi.Tawhid.Masaha004555-ara1,توحيد المفضل‏,Tawhid,0145MufaddalIbnCumarJucfi,كاظم‏ المظفر :: داوري‏,Masāḥa,22036,146,1,_HADITH
Shamela0026745,0146MajacaIbnZubayr.MinHadith.Shamela0026745-ara1,من حديث أبي عبيدة مجاعة بن الزبير العتكي البصري,Min Hadith,0146MajacaIbnZubayr,عامر حسن صبري :: دار البشائر الإسلامية [ضمن سلسلة الأجزاء والكتب الحديثية (20)],al-Maktaba al-Shāmila,6040,110,1,_HADITH :: _AJZA
Shia002333,0148AbuHamzaThumali.Tafsir.Shia002333-ara1,تفسير أبي حمزة الثمالي,Tafsir,0148AbuHamzaThumali,أعاد جمعه وتأليفه : عبد الرزاق محمد حسين حرز الدين / مراجعة وتقديم : الشيخ محمد هادي معرفة :: 1420 - 1378 ش,al-Shāmila al-Shīʿiyya,40346,272,1,_TAFSIR :: _QURAN :: _SHICI
Shia001266,0148JacfarSadiq.MisbahSharica.Shia001266-ara1,مصباح الشريعة,Misbah Sharica,0148JacfarSadiq,1400 - 1980 م,al-Shāmila al-Shīʿiyya,17194,202,1,_HADITH :: _SHICI
Shamela0006387,0150AbuHanifa.FiqhAbsat.Shamela0006387-ara1.mARkdown,الفقه الأبسط,al-Fiqh al-Absaṭ,0150AbuHanifa,http://www.worldcat.org/oclc/4770195551 :: مكتبة الفرقان - الإمارات العربية,al-Maktaba al-Shāmila,4505,55,1,_CAQAID :: _MILAL
JK001085,0150AbuHanifa.FiqhAkbar.JK001085-ara1.mARkdown,الفقه الأكبر,al-Fiqh al-Akbar,0150AbuHanifa,http://www.worldcat.org/oclc/4770195551 :: الإمارات العربية :: 1419هـ - 1999م :: مكتبة الفرقان,al-Jāmiʿ al-Kabīr,1656,38,1,_CAQAID
Shamela0029120,0150AbuHanifa.Musnad.Shamela0029120-ara1,مسند أبي حنيفة رواية الحصكفي,Musnad,0150AbuHanifa,عبد الرحمن حسن محمود :: الآداب - مصر,al-Maktaba al-Shāmila,27282,546,1,_HADITH
ShamAY0035261,0150AbuHanifa.Wasiyya.ShamAY0035261-ara1,وصية الإمام الأعظم أبي حنيفة  :: وصية الإمام الأعظم ابي حنيفة :: وصية الإمام الأعظم أبي حنيفة,Wasiyya,0150AbuHanifa,الدكتور جميل عبد الله عويضة,al-Maktaba al-Shāmila AY,1296,11,1,_CAQAID
JK011476,0150IbnJurayj.Juz.JK011476-ara1,جزء ابن جريج,Juz,0150IbnJurayj,,al-Jāmiʿ al-Kabīr,4709,74,1,_HADITH :: _AJZA :: _TARAJIM
Tafsir02067,0150MuqatilIbnSulayman.TafsirMuqatil.Tafsir02067-ara1,مقاتل بن سليمان,Tafsir Muqatil,0150MuqatilIbnSulayman,,al-Tafāsīr,345805,1280,1,_CULUM :: _TAFSIR :: _QURAN :: _SUNNI
Sham19Y0017869,0150SalihIbnJinahLakhmi.AdabMurua.Sham19Y0017869-ara1,الأدب والمروءة,Adab Murua,0150SalihIbnJinahLakhmi,الأولى، 1412 ه - 1992 م :: دار الصحابة للتراث، طنطا - جمهورية مصر العربية,al-Maktaba al-Shāmila,3924,28,1,_ADAB :: _BALAGHA
Shamela0009862,0151IbnIshaq.Sira.Shamela0009862-ara2.mARkdown,سيرة  ابن اسحاق,Sīraŧ  åbn Isḥāq,0151IbnIshaq,http://www.worldcat.org/oclc/165221953 :: سهيل زكار :: بيروت :: 1398 هـ /1978م :: دار الفكر,al-Maktaba al-Shāmila,70625,308,1,_SIRA :: _SHAMAIL :: _IMAM :: _NABI
JK000746,0151MacmarIbnRashid.Jamic.JK000746-ara1.completed,الجامع,Jamic,0151MacmarIbnRashid,https://worldcat.org/en/title/43112425 :: حبيب الأعظمي (منشور كملحق بكتاب المصنف للصنعاني ج10) :: بيروت :: 1403 :: المكتب الإسلامي,al-Jāmiʿ al-Kabīr,85511,561,11,_HADITH :: _FIQH :: _TARAJIM
JK011437,0156IbnAbiCuruba.Manasik.JK011437-ara1,المناسك لابن أبي عروبة,Manasik,0156IbnAbiCuruba,,al-Jāmiʿ al-Kabīr,4282,172,1,_HADITH :: _BUHUTH :: _AJZA :: _MASAIL :: _TARAJIM
Shia003665,0157AbuMikhnafAzdi.MaqtalHusayn.Shia003665-ara1,مقتل الحسين (ع),Maqtal Husayn,0157AbuMikhnafAzdi,تعليق : حسين الغفاري,al-Shāmila al-Shīʿiyya,70280,395,1,_SIRA :: _IMAM :: _NABI
Masaha003027,0157AbuMikhnafAzdi.WaqcatTaff.Masaha003027-ara1,وقعة الطف‏,Waqcat Taff,0157AbuMikhnafAzdi,جماعة المدرسين‏,Masāḥa,26246,212,1,_TARIKH :: _SHICI
Shamela0026488,0161SufyanThawri.Faraid.Shamela0026488-ara1,الفرائض للثوري,Faraid,0161SufyanThawri,دار العاصمة - الرياض,al-Maktaba al-Shāmila,2536,93,1,_HADITH :: _SUNNI
Shamela0026548,0161SufyanThawri.Hadith.Shamela0026548-ara1,من حديث الإمام سفيان بن سعيد الثوري,Hadith,0161SufyanThawri,عامر حسن صبري :: دار البشائر الإسلامية [ضمن سلسلة الأجزاء والكتب الحديثية (31)],al-Maktaba al-Shāmila,13824,324,1,_HADITH :: _AJZA
Tafsir02099,0161SufyanThawri.Tafsir.Tafsir02099-ara1,تفسير سفيان الثوري,Tafsir,0161SufyanThawri,,al-Tafāsīr,19603,72,1,_CULUM :: _TAFSIR :: _QURAN
Shamela0026922,0164MajishunMadani.Hajj.Shamela0026922-ara1,كتاب الحج من كتب عبد العزيز بن عبد الله بن أبي سلمة الماجشون,Hajj,0164MajishunMadani,ميكلوش موراني :: دار ابن حزم [طبع مع كتاب الحج مما ليس في المدونة للعتبي],al-Maktaba al-Shāmila,1744,19,1,_HADITH :: _AJZA
JK007613,0167BashsharIbnBurdShacir.Diwan.JK007613-ara1,ديوان بشار بن برد,Diwan,0167BashsharIbnBurdShacir,,al-Jāmiʿ al-Kabīr,67804,1126,1,_SHICR
Shamela0029701,0167SariIbnYahyaBasri.AhadithSari.Shamela0029701-ara1,أحاديث السري بن يحيى,Ahadith Sari,0167SariIbnYahyaBasri,مخطوط نشر في برنامج جوامع الكلم المجاني التابع لموقع الشبكة الإسلامية,al-Maktaba al-Shāmila,8824,201,1,_HADITH :: _MAKHTUTAT
JK000625,0168IbnTahman.Mashyakha.JK000625-ara1,مشيخة ابن طهمان,Mashyakha,0168IbnTahman,,al-Jāmiʿ al-Kabīr,9991,183,1,_HADITH :: _AJZA :: _TARAJIM
JK011034,0168MufaddalDabbi.AmthalCarab.JK011034-ara1,أمثال العرب,Amthal Carab,0168MufaddalDabbi,,al-Jāmiʿ al-Kabīr,25256,135,1,_BALAGHA :: _ADAB
Shamela0006904,0168MufaddalDabbi.Mufaddaliyyat.Shamela0006904-ara1.completed,المفضليات,Mufaddaliyyat,0168MufaddalDabbi,http://www.worldcat.org/oclc/1006317987 :: أحمد محمد شاكر و عبد السلام محمد هارون :: دار المعارف - القاهرة,al-Maktaba al-Shāmila,26126,409,1,_BALAGHA :: _ADAB :: _SHICR
JK006912,0170AbuZaydQurashi.JamharatAshcarCarab.JK006912-ara1,جمهرة أشعار العرب,Jamharat Ashcar Carab,0170AbuZaydQurashi,عمر فاروق الطباع :: بيروت :: دار الأرقم,al-Jāmiʿ al-Kabīr,38207,289,1,_BALAGHA :: _ADAB :: _SHICR
JK000930,0170KhalilFarahidi.Cayn.JK000930-ara1,العين :: كتاب العين 8 مجلدات,Cayn,0170KhalilFarahidi,د مهدي المخزومي / د إبراهيم السامرائي :: دار ومكتبة الهلال,al-Jāmiʿ al-Kabīr,352011,3207,8,_FIQH
